Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S2.250;2;54;4;sp17;S2.250;27.06.2022;2;3;10;27;27;54;FP
S1.365;1;54;4;sp17;S1.365;04.07.2022;1;3;11;31;39;54;FP
S1.370;1;54;4;sp17;S1.370;20.06.2022;1;3;9;26;22;54;FP
S3.120;3;54;4;sp17;S3.120;30.05.2022;3;3;14;12;102;54;FP
S1.345;1;29;4;sp17;S1.345;25.05.2022;1;3;9;24;17;29;FP
S1.288;1;1;4;sp17;S1.288;12.05.2022;1;1;11;32;42;1;FP
S2.263;2;54;4;sp17;S2.263;04.07.2022;2;3;11;34;47;54;FP
S3.89;3;29;4;sp17;S3.89;02.06.2022;3;3;10;27;26;29;FP
S3.133;3;54;3;sp17;S3.133;13.06.2022;3;3;8;22;10;54;FP
S3.102;3;29;3;sp17;S3.102;05.05.2022;3;3;14;8;88;29;FP
S1.348;1;29;3;sp17;S1.348;02.06.2022;1;3;10;27;25;29;FP
S2.255;2;54;3;sp17;S2.255;13.06.2022;2;3;8;22;11;54;FP
S2.272;2;54;3;sp17;S2.272;23.05.2022;2;3;13;6;82;54;FP
S2.253;2;54;3;sp17;S2.253;20.06.2022;2;3;9;24;16;54;FP
S1.290;1;1;3;sp17;S1.290;12.05.2022;1;1;11;34;48;1;FP
S3.19;3;1;3;sp17;S3.19;31.03.2022;3;1;13;2;72;1;FP
